CPU_USAGE,ENDPOINT,IP_ADDRESS,MEMORY_USAGE,MESSAGE,RESPONSE_TIME,SERVICE,STATUS_CODES,TIME_STAMP,TIMESTAMP
17,/checkout,103.24.222.220,27,success,2622,search-service,200,2026-05-25T14:33:18,2026-05-25 14:33:18.000
27,/products,138.74.66.218,78,success,2440,payment-service,200,2026-05-25T14:33:32,2026-05-25 14:33:32.000
77,/checkout,95.250.122.152,20,Error,400,shipping-service,404,2026-05-25T14:33:08,2026-05-25 14:33:08.000
95,/products,112.64.139.9,23,success,4809,payment-service,200,2026-05-25T14:33:10,2026-05-25 14:33:10.000
12,/products,155.136.221.95,44,Error,1752,payment-service,500,2026-05-25T14:33:12,2026-05-25 14:33:12.000
63,/payment,169.79.253.96,58,Error,2675,inventory-service,401,2026-05-25T14:33:30,2026-05-25 14:33:30.000
24,/checkout,155.76.230.173,48,Error,990,payment-service,503,2026-05-25T14:33:06,2026-05-25 14:33:06.000
91,/products,137.3.150.222,33,Error,511,shipping-service,500,2026-05-25T14:33:14,2026-05-25 14:33:14.000
56,/products,187.214.92.1,31,Error,3243,shipping-service,503,2026-05-25T14:33:22,2026-05-25 14:33:22.000
58,/login,221.124.221.204,54,Error,4354,shipping-service,500,2026-05-25T14:33:24,2026-05-25 14:33:24.000
28,/payment,37.16.117.225,79,Error,1496,shipping-service,404,2026-05-25T14:33:26,2026-05-25 14:33:26.000
45,/search,31.251.39.209,26,Error,1496,inventory-service,404,2026-05-25T14:33:36,2026-05-25 14:33:36.000
56,/payment,196.185.205.179,28,Error,979,auth-service,404,2026-05-25T14:33:28,2026-05-25 14:33:28.000
59,/search,51.142.11.174,60,Error,3939,auth-service,503,2026-05-25T14:33:20,2026-05-25 14:33:20.000
85,/search,98.95.129.197,76,Error,2963,auth-service,500,2026-05-25T14:33:34,2026-05-25 14:33:34.000
66,/search,132.44.27.54,76,Error,3926,auth-service,500,2026-05-25T14:33:16,2026-05-25 14:33:16.000
